DEPT;RHOB;TR;VP
3489;2.43795;5;9975.764
3490;2.43098;5;9597.379
3491;2.38059;5;9570.604
3492;2.36244;4;9437.365
3493;2.31635;3;9207.359
3494;2.32702;4;9087.646
3495;2.34847;4;9054.779
3496;2.30324;3;9070.54
3497;2.21705;1;8425.837
3498;2.15318;1;8272.337
3499;2.21364;1;8326.117
3500;2.21565;1;8682.062
3501;2.1264;2;8339.035
3502;2.11083;1;8253.388
3503;2.14793;2;8008.489
3504;2.24462;2;7668.083
3505;2.26352;5;10428.35
3506;2.15508;4;9434.01
3507;2.18015;5;8959.585
3508;2.26139;5;8257.996
3509;2.33465;5;8683.702
3510;2.36815;5;9127.39
3511;2.37361;5;10248.12
3512;2.38091;4;10589.37
3513;2.31177;4;10073.49
3514;2.26832;5;9307.071
3515;2.27014;5;8788.395
3516;2.32044;5;8750.826
3517;2.34371;5;9295.24
3518;2.34179;-9999;9016.281
3519;2.35334;-9999;8450.168
3520;2.33478;-9999;8460.256
3521;2.38096;-9999;9036.833
3522;2.41794;-9999;8993.419
3523;2.45185;-9999;9507.605
3524;2.44804;-9999;10598.02
3525;2.44044;-9999;11814.87
3526;2.41583;-9999;11744.38
3527;2.32978;-9999;10956.99
3528;2.27879;-9999;10358.21
3529;2.27681;-9999;8861.076
3530;2.30924;-9999;8888.14
3531;2.32515;-9999;8839.621
3532;2.34502;-9999;8723.328
3533;2.34317;-9999;8972.473
3534;2.36408;-9999;8931.116
3535;2.34468;-9999;8950.417
3536;2.36161;-9999;8774.489
3537;2.37528;-9999;8854.233
3538;2.37895;-9999;8934.05
3539;2.41881;-9999;9222.956
3540;2.46239;-9999;9657.794
3541;2.44343;-9999;10363.56
3542;2.39382;-9999;10331.86
3543;2.3543;-9999;10056.49
3544;2.41886;-9999;10291.24
3545;2.42334;-9999;9304.117
3546;2.37026;-9999;9436.417
3547;2.32218;-9999;9041.609
3548;2.3203;-9999;8669.366
3549;2.30878;-9999;8606.227
3550;2.3155;-9999;8812.989
3551;2.31779;-9999;8814.126
3552;2.34565;-9999;8667.807
3553;2.38314;-9999;8459.526
3554;2.38735;-9999;8336.58
3555;2.40033;-9999;8084.764
3556;2.43508;-9999;7978.104
3557;2.41536;-9999;8102.129
3558;2.3939;-9999;8509.831
3559;2.41121;-9999;8845.773
3560;2.42757;-9999;8689.716
3561;2.42675;-9999;8879.526
3562;2.41693;-9999;8947
3563;2.40792;-9999;8951.173
3564;2.37721;-9999;9331.292
3565;2.34888;-9999;9244.148
3566;2.32658;-9999;8622.766
3567;2.32795;-9999;8035.063
3568;2.30563;-9999;8165.743
3569;2.32812;-9999;8056.065
3570;2.36556;-9999;8002.619
3571;2.37585;-9999;7903.127
3572;2.39164;-9999;10406.92
3573;2.40755;-9999;11253.73
3574;2.37506;-9999;11411.2
3575;2.33289;-9999;10951.69
3576;2.32758;-9999;10210.75
3577;2.3484;-9999;9146.811
3578;2.37951;-9999;9088.693
3579;2.37247;-9999;9241.674
3580;2.39318;-9999;9613.92
3581;2.37336;-9999;10453.87
3582;2.36707;-9999;10836.43
3583;2.3788;-9999;10969.27
3584;2.36065;-9999;10735.46
3585;2.34941;-9999;10680.63
3586;2.40399;-9999;10650.26
3587;2.42972;-9999;10661.6
3588;2.41499;-9999;10746.57
3589;2.41681;-9999;10743.89
3590;2.42298;-9999;10600.22
3591;2.42413;-9999;10563.4
3592;2.42766;-9999;10531.28
3593;2.41938;-9999;10449
3594;2.39;-9999;10491.27
3595;2.35783;5;10576.48
3596;2.40216;5;10604.31
3597;2.4174;5;10594.85
3598;2.38916;5;10608.93
3599;2.43072;-9999;10397.71
3600;2.47346;-9999;9279.521
3601;2.5085;5;10241.16
3602;2.49254;5;10449.9
3603;2.454;5;10787.04
3604;2.42496;-9999;10640.57
3605;2.44336;5;10564.04
3606;2.36268;3;10359.29
3607;2.20841;2;10194.02
3608;2.15895;2;9037.64
3609;2.17006;2;8971.186
3610;2.11602;2;8665.265
3611;2.0757;-9999;8580.083
3612;2.12423;2;8523.273
3613;2.10668;2;8499.255
3614;2.0431;-9999;8462.244
3615;2.08948;-9999;8414.665
3616;2.21668;3;8483.781
3617;2.29235;2;8741.242
3618;2.32251;3;10182.48
3619;2.35513;5;10602.68
3620;2.3671;5;10346.48
3621;2.3462;5;10055.68
3622;2.37559;5;9927.757
3623;2.37787;5;9818.2
3624;2.35492;5;9543.299
3625;2.33732;5;9425.537
3626;2.37298;5;9523.58
3627;2.37178;5;9585.137
3628;2.35654;5;9388.548
3629;2.33926;5;9356.866
3630;2.31854;5;9393.37
3631;2.30989;5;9326.648
3632;2.33509;5;9445.72
3633;2.33815;5;9380.293
3634;2.34681;5;9381.374
3635;2.38666;5;9401.243
3636;2.36816;5;9420.065
3637;2.38583;5;9765.745
3638;2.40684;5;9864.309
3639;2.38917;5;10061.01
3640;2.37149;5;10252.48
3641;2.35658;5;10551.11
3642;2.32291;5;10947.23
3643;2.29785;-9999;11027.31
3644;2.3192;-9999;11189.57
3645;2.31679;5;10552.07
3646;2.34288;5;10355.8
3647;2.32106;5;10297.59
3648;2.31573;5;10424.63
3649;2.27315;5;10780.22
3650;2.25729;5;10779.19
3651;2.28781;5;10075.4
3652;2.29127;5;9854.341
3653;2.26975;-9999;9162.132
3654;2.26027;-9999;8884.014
3655;2.2911;-9999;8782.043
3656;2.3117;-9999;8888.538
3657;2.32576;-9999;8820.472
3658;2.33295;-9999;9029.966
3659;2.29571;4;9391.832
3660;2.23963;-9999;10031.74
